ID;AÑO;NT1_1;NT1_2;NT1_3;NT1_4;NT2_1;NT2_2;NT2_3;NT2_4;NT2_5;NT3;NT3_1;NT3_2;NT3_3;NT4_1;NT4_2;NT4_3;NT5_1;NT5_2;NT5_3;NT5_4;NT5_5;NT5_6;NT5_7;NT5_8;NT5_9;NT5_10;NT5_11;NT5_12;EDAD;SEXO;GRUPO_DE_EDAD;ZONA;PONDERA
27;2014;1;2;1;2;2;2;1;2;2;1;1;4;5;1;15;2;6;10; ; ; ; ; ; ; ; ; ; ;27;2;3;1;1044.64574514504
33;2014;1;2;1;2;2;2;1;2;2;1;1;8; ;4;2;1;2;5;7;10; ; ; ; ; ; ; ; ;24;2;2;1;1270.40499674473
34;2014;2;1;2;2;2;2;1;2;1;1;3; ; ;4;1;2;1;3;4;7;10; ; ; ; ; ; ; ;25;2;3;1;1350.19430301354
36;2014;1;1;1;2;1;2;1;1;1;1;1;8; ;1;2;4;2;3;4;5;6;7;8;9;10;11;14;15;25;2;3;1;512.000286158041
37;2014;2;1;1;2;1;2;1;2;1;1;1;2;8;1;4; ;2;3;6;7;10; ; ; ; ; ; ; ;22;2;2;1;481.743790814515
41;2014;1;1;1;1;2;2;1;1;2;1;1;6;8;1;2;4;4;5;7;8;10;14;15; ; ; ; ; ;23;2;2;1;846.936664496486
42;2014;1;1;1;2;2;2;1;1;1;1;1;2;8;1;5;6;4;7;8;10;12;15; ; ; ; ; ; ;29;2;3;1;900.129535342363
50;2014;1;1;1;2;2;2;1;1;1;1;8;1;2;1;6; ;4;5;6;10; ; ; ; ; ; ; ; ;27;2;3;1;470.709940500135
53;2014;2;1;1;2;1;2;1;2;1;1;1;8;6;1;2;5;4;9;10; ; ; ; ; ; ; ; ; ;26;2;3;1;1284.12974996089
55;2014;2;1;1;2;2;2;1;2;1;1;8;1;6;2;5;6;3;4;6;7;8;10; ; ; ; ; ; ;24;2;2;1;1208.24450760737
57;2014;1;1;1;1;1;2;1;1;1;1;1; ; ;1;2;3;3;4;6;7;8;9;10;13;14; ; ; ;22;2;2;1;940.177398202521
59;2014;1;2;1;2;2;2;1;1;2;1;8;1;6;1;2;6;4;7;10; ; ; ; ; ; ; ; ; ;25;2;3;1;999.226364921338
63;2014;1;1;1;2;1;2;1;1;1;1;1;8;6;1;2;3;2;3;4;5;6;7;8;9;10;11;13;14;24;2;2;1;1177.16426303869
64;2014;1;1;1;2;2;2;1;1;1;1;1;8;2;1;2; ;1;2;3;4;5;7;8;10;11;12;14; ;24;2;2;1;1177.16426303869
66;2014;1;1;1;1;2;2;1;1;1;1;8;1;2;1;6;2;2;3;4;5;6;7;8;10; ; ; ; ;20;2;2;1;1453.00143358571
70;2014;1;2;1;2;1;2;1;1;2;1;8;1;2;2;5;6;3;4;5;7;10; ; ; ; ; ; ; ;23;2;2;1;1453.00143358571
71;2014;2;1;1;2;1;2;1;2;1;1;1;8; ;2;3; ;1;2;3;4;7;8;10;14; ; ; ; ;24;2;2;1;639.230327506247
80;2014;1;1;2;2;2;1;2;2;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;23;2;2;1;762.510462096737
82;2014;2;1;1;2;2;2;1;2;1;1;1; ; ;2; ; ;2;3;4; ; ; ; ; ; ; ; ; ;27;2;3;1;710.435231133773
88;2014;1;1;1;2;2;2;1;1;1;1;1;6; ;2;3;4;2;3;5; ; ; ; ; ; ; ; ; ;25;2;3;1;760.903307662402
90;2014;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;29;2;3;1;760.903307662402
99;2014;2;1;1;2;2;2;1;2;2;1;1;2; ;2;1;5;4;7;8;10; ; ; ; ; ; ; ; ;24;2;2;1;398.149175418177
100;2014;1;1;1;2;2;2;1;2;2;1;1;2; ;1;2;5;2;3;7;10; ; ; ; ; ; ; ; ;26;2;3;1;423.155410893887
101;2014;1;1;1;1;1;2;1;1;1;1;1;6; ;2;4; ;10; ; ; ; ; ; ; ; ; ; ; ;17;2;1;1;557.838592657201
102;2014;1;2;1;2;2;1;2;1;2;1;1; ; ;1;6; ;10; ; ; ; ; ; ; ; ; ; ; ;27;2;3;1;800.695444925359
108;2014;2;1;1;1;1;2;1;2;1;1;1;8; ;2;1;4;3;10;11; ; ; ; ; ; ; ; ; ;27;2;3;1;605.616918343544
112;2014;1;1;1;2;1;2;1;1;1;1;1;2; ;2;4;1;5; ; ; ; ; ; ; ; ; ; ; ;23;2;2;1;525.995240919426
113;2014;2;1;1;2;2;1;2;2;1;1;1;2; ;2;3; ;1;5;11; ; ; ; ; ; ; ; ; ;23;2;2;1;525.995240919426
116;2014;1;1;1;2;1;1;2;1;1;1;1;4;5;2;1; ;3;4;5;7;14; ; ; ; ; ; ; ;29;2;3;1;687.142272735944
119;2014;1;1;1;2;1;2;1;1;1;1;1;8; ;2;4;5;2;3;4;5;7;14; ; ; ; ; ; ;21;2;2;1;646.535816963461
125;2014;1;1;1;2;1;1;2;1;1;1;1;8; ;4;2;1;3;4;14; ; ; ; ; ; ; ; ; ;22;2;2;1;566.175432934104
127;2014;1;2;1;2;2;2;1;1;2;1;1;8; ;6;2;1;3;4;5;6;7;8;10; ; ; ; ; ;23;2;2;1;452.940346347284
129;2014;2;1;1;2;1;2;1;2;1;1;8;1; ;2;1;3;5;6;7;8;9;10; ; ; ; ; ; ;27;2;3;1;481.387806888458
131;2014;1;1;1;2;2;2;1;1;2;1;1; ; ;1;4;2;2;3;8;10;14;15; ; ; ; ; ; ;25;2;3;1;469.741327689544
136;2014;1;1;1;2;2;2;1;1;1;1;1;6;8;1;6;2;2;3;4;5;10;13; ; ; ; ; ; ;23;2;2;1;489.467793633355
